ID,Cell Name,Station ID,OBC Variant Number,Part Serial Number (SFC),Screw Material Number,PKP,AST11,Action (Task) Number,Program Number,Status,Date And Time,Last Step Number,Run Time,Step1 Number,Step1 Torque Low Value,Step1 Torque Target Value,Step1 Torque Measured Value,Step1 Torque Up Value,Step1 Angle Low Value,Step1 Angle Target Value,Step1 Angle Measured Value,Step1 Angle Up Value,Step2 Number,Step2 Torque Low Value,Step2 Torque Target Value,Step2 Torque Measured Value,Step2 Torque Up Value,Step2 Angle Low Value,Step2 Angle Target Value,Step2 Angle Measured Value,Step2 Angle Up Value,Step3 Number,Step3 Torque Low Value,Step3 Torque Target Value,Step3 Torque Measured Value,Step3 Torque Up Value,Step3 Angle Low Value,Step3 Angle Target Value,Step3 Angle Measured Value,Step3 Angle Up Value,Comment
158072,ST030,2,10352189,XT006RK182770,10314078,1,1,8,1,0,2018-11-26 12:19:55,8,4.48,6,1.70,1.80,0.24,1.90,0,0,720,0,8,0.00,0.00,1.89,1.70,650,720,14,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158071,ST030,2,10352189,XT006RK182770,10314078,1,1,7,1,0,2018-11-26 12:19:47,8,4.57,6,1.70,1.80,0.16,1.90,0,0,720,0,8,0.00,0.00,1.92,1.70,650,720,19,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158070,ST030,2,10352189,XT006RK182770,10314078,1,1,6,1,0,2018-11-26 12:19:39,8,5.12,6,1.70,1.80,0.23,1.90,0,0,720,0,8,0.00,0.00,1.90,1.70,650,720,25,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158069,ST030,2,10352189,XT006RK182770,10314078,1,1,5,1,0,2018-11-26 12:19:30,8,4.10,6,1.70,1.80,0.12,1.90,0,0,720,0,8,0.00,0.00,1.88,1.70,650,720,14,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158068,ST030,2,10352189,XT006RK182770,10314078,1,1,4,1,0,2018-11-26 12:19:22,8,4.57,6,1.70,1.80,0.15,1.90,0,0,720,0,8,0.00,0.00,1.90,1.70,650,720,23,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158067,ST030,2,10352189,XT006RK182770,10314078,1,1,3,1,0,2018-11-26 12:19:14,8,5.89,6,1.70,1.80,0.17,1.90,0,0,720,0,8,0.00,0.00,1.87,1.70,650,720,32,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158066,ST030,2,10352189,XT006RK182770,10314078,1,1,2,1,0,2018-11-26 12:19:04,8,4.37,6,1.70,1.80,0.17,1.90,0,0,720,0,8,0.00,0.00,1.90,1.70,650,720,18,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158065,ST030,1,10352189,XT006RJT78220,10314078,1,1,31,2,0,2018-11-26 11:29:53,17,5.56,13,0.95,1.00,0.63,1.05,0,0,40,0,15,0.01,0.00,1.00,1.50,30,40,47,60,17,0.95,1.00,1.00,1.10,1,0,47,200,OK
158064,ST030,1,10352189,XT006RJT78220,10314078,1,1,27,2,0,2018-11-26 11:29:33,17,4.74,13,0.95,1.00,0.56,1.05,0,0,40,0,15,0.01,0.00,1.01,1.50,30,40,7,60,17,0.95,1.00,1.01,1.10,1,0,7,200,OK
158063,ST030,1,10352189,XT006RJT78220,10314078,1,1,23,2,0,2018-11-26 11:29:15,17,5.32,13,0.95,1.00,0.55,1.05,0,0,40,0,15,0.01,0.00,1.00,1.50,30,40,13,60,17,0.95,1.00,1.00,1.10,1,0,13,200,OK
158062,ST030,1,10352189,XT006RJT78220,10314078,1,1,19,2,0,2018-11-26 11:29:00,17,4.41,13,0.95,1.00,0.54,1.05,0,0,40,0,15,0.01,0.00,1.00,1.50,30,40,7,60,17,0.95,1.00,1.00,1.10,1,0,7,200,OK
158061,ST030,1,10352189,XT006RJT78220,10314078,1,1,15,2,0,2018-11-26 11:28:41,17,4.97,13,0.95,1.00,0.53,1.05,0,0,40,0,15,0.01,0.00,1.00,1.50,30,40,10,60,17,0.95,1.00,1.00,1.10,1,0,10,200,OK
158060,ST030,1,10352189,XT006RJT78220,10314078,1,1,11,2,0,2018-11-26 11:28:27,17,4.51,13,0.95,1.00,0.48,1.05,0,0,40,0,15,0.01,0.00,1.00,1.50,30,40,9,60,17,0.95,1.00,1.00,1.10,1,0,9,200,OK
158059,ST030,2,10352189,XT006RJT78270,10314078,1,1,24,2,0,2018-11-26 11:25:41,6,2.41,4,0.00,0.00,0.39,1.00,300,380,1902,450,6,0.05,0.00,1.48,1.60,1700,1900,17,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158058,ST030,2,10352189,XT006RJT78270,10314078,1,1,23,2,0,2018-11-26 11:25:36,6,2.44,4,0.00,0.00,0.36,1.00,300,380,1902,450,6,0.05,0.00,1.51,1.60,1700,1900,14,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158057,ST030,2,10352189,XT006RJT78270,10314078,1,1,22,2,0,2018-11-26 11:25:30,6,2.18,4,0.00,0.00,0.42,1.00,300,380,1902,450,6,0.05,0.00,1.48,1.60,1700,1900,20,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158056,ST030,2,10352189,XT006RJT78270,10314078,1,1,21,2,0,2018-11-26 11:25:24,6,2.33,4,0.00,0.00,0.42,1.00,300,380,1902,450,6,0.05,0.00,1.50,1.60,1700,1900,14,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158055,ST030,2,10352189,XT006RJT78270,10314078,1,1,20,2,0,2018-11-26 11:25:19,6,2.29,4,0.00,0.00,0.41,1.00,300,380,1900,450,6,0.05,0.00,1.49,1.60,1700,1900,14,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158054,ST030,2,10352189,XT006RJT78270,10314078,1,1,19,2,0,2018-11-26 11:25:13,6,2.21,4,0.00,0.00,0.43,1.00,300,380,1901,450,6,0.05,0.00,1.48,1.60,1700,1900,17,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158053,ST030,2,10352189,XT006RJT78270,10314078,1,1,18,2,0,2018-11-26 11:25:08,6,2.30,4,0.00,0.00,0.48,1.00,300,380,1902,450,6,0.05,0.00,1.50,1.60,1700,1900,15,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158052,ST030,2,10352189,XT006RJT78270,10314078,1,1,17,2,0,2018-11-26 11:25:02,6,2.34,4,0.00,0.00,0.38,1.00,300,380,1902,450,6,0.05,0.00,1.48,1.60,1700,1900,16,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158051,ST030,2,10352189,XT006RJT78270,10314078,1,1,16,2,0,2018-11-26 11:24:56,6,2.30,4,0.00,0.00,0.38,1.00,300,380,1902,450,6,0.05,0.00,1.52,1.60,1700,1900,14,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158050,ST030,1,10352189,XT006RK182770,10314078,1,1,31,2,0,2018-11-26 11:24:53,17,4.65,13,0.95,1.00,0.45,1.05,0,0,40,0,15,0.01,0.00,1.02,1.50,30,40,6,60,17,0.95,1.00,1.02,1.10,1,0,6,200,OK
158049,ST030,2,10352189,XT006RJT78270,10314078,1,1,15,2,0,2018-11-26 11:24:51,6,2.16,4,0.00,0.00,0.37,1.00,300,380,1901,450,6,0.05,0.00,1.48,1.60,1700,1900,18,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158048,ST030,2,10352189,XT006RJT78270,10314078,1,1,14,2,0,2018-11-26 11:24:45,6,2.19,4,0.00,0.00,0.49,1.00,300,380,1900,450,6,0.05,0.00,1.50,1.60,1700,1900,19,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158047,ST030,2,10352189,XT006RJT78270,10314078,1,1,13,2,0,2018-11-26 11:24:40,6,2.30,4,0.00,0.00,0.40,1.00,300,380,1902,450,6,0.05,0.00,1.48,1.60,1700,1900,13,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158046,ST030,1,10352189,XT006RK182770,10314078,1,1,27,2,0,2018-11-26 11:24:39,17,4.24,13,0.95,1.00,0.41,1.05,0,0,40,0,15,0.01,0.00,1.04,1.50,30,40,6,60,17,0.95,1.00,1.04,1.10,1,0,6,200,OK
158045,ST030,2,10352189,XT006RJT78270,10314078,1,1,12,1,0,2018-11-26 11:24:34,8,4.13,6,1.70,1.80,0.08,1.90,0,0,720,0,8,0.00,0.00,1.89,1.70,650,720,17,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
